"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HRWKD","TOT","HR_WKD","A","1990",1788.28,
"AUS","HRWKD","TOT","HR_WKD","A","1991",1773.5,
"AUS","HRWKD","TOT","HR_WKD","A","1992",1772.44,
"AUS","HRWKD","TOT","HR_WKD","A","1993",1790.94,
"AUS","HRWKD","TOT","HR_WKD","A","1994",1799.62,
"AUS","HRWKD","TOT","HR_WKD","A","1995",1798.92,
"AUS","HRWKD","TOT","HR_WKD","A","1996",1792.1,
"AUS","HRWKD","TOT","HR_WKD","A","1997",1790.49,
"AUS","HRWKD","TOT","HR_WKD","A","1998",1776.63,
"AUS","HRWKD","TOT","HR_WKD","A","1999",1781.45,
"AUS","HRWKD","TOT","HR_WKD","A","2000",1779.63,
"AUS","HRWKD","TOT","HR_WKD","A","2001",1746.37,
"AUS","HRWKD","TOT","HR_WKD","A","2002",1741.82,
"AUS","HRWKD","TOT","HR_WKD","A","2003",1735.1,
"AUS","HRWKD","TOT","HR_WKD","A","2004",1733.74,
"AUS","HRWKD","TOT","HR_WKD","A","2005",1732.26,
"AUS","HRWKD","TOT","HR_WKD","A","2006",1721.66,
"AUS","HRWKD","TOT","HR_WKD","A","2007",1722.64,
"AUS","HRWKD","TOT","HR_WKD","A","2008",1720.88,
"AUS","HRWKD","TOT","HR_WKD","A","2009",1692.33,
"AUS","HRWKD","TOT","HR_WKD","A","2010",1699.94,
"AUS","HRWKD","TOT","HR_WKD","A","2011",1699.92,
"AUS","HRWKD","TOT","HR_WKD","A","2012",1692.55,
"AUS","HRWKD","TOT","HR_WKD","A","2013",1689.38,
"AUS","HRWKD","TOT","HR_WKD","A","2014",1683.27,
"AUS","HRWKD","TOT","HR_WKD","A","2015",1683.55,
"AUS","HRWKD","TOT","HR_WKD","A","2016",1673.4,
"AUS","HRWKD","TOT","HR_WKD","A","2017",1674.9,
"AUS","HRWKD","TOT","HR_WKD","A","2018",1665.04,
"AUT","HRWKD","TOT","HR_WKD","A","1995",1658,
"AUT","HRWKD","TOT","HR_WKD","A","1996",1689,
"AUT","HRWKD","TOT","HR_WKD","A","1997",1697,
"AUT","HRWKD","TOT","HR_WKD","A","1998",1677,
"AUT","HRWKD","TOT","HR_WKD","A","1999",1680,
"AUT","HRWKD","TOT","HR_WKD","A","2000",1681,
"AUT","HRWKD","TOT","HR_WKD","A","2001",1669,
"AUT","HRWKD","TOT","HR_WKD","A","2002",1666,
"AUT","HRWKD","TOT","HR_WKD","A","2003",1658,
"AUT","HRWKD","TOT","HR_WKD","A","2004",1660,
"AUT","HRWKD","TOT","HR_WKD","A","2005",1638,
"AUT","HRWKD","TOT","HR_WKD","A","2006",1622,
"AUT","HRWKD","TOT","HR_WKD","A","2007",1612,
"AUT","HRWKD","TOT","HR_WKD","A","2008",1605,
"AUT","HRWKD","TOT","HR_WKD","A","2009",1564,
"AUT","HRWKD","TOT","HR_WKD","A","2010",1557,
"AUT","HRWKD","TOT","HR_WKD","A","2011",1562,
"AUT","HRWKD","TOT","HR_WKD","A","2012",1540,
"AUT","HRWKD","TOT","HR_WKD","A","2013",1525,
"AUT","HRWKD","TOT","HR_WKD","A","2014",1516,
"AUT","HRWKD","TOT","HR_WKD","A","2015",1500,
"AUT","HRWKD","TOT","HR_WKD","A","2016",1512,
"AUT","HRWKD","TOT","HR_WKD","A","2017",1511,
"AUT","HRWKD","TOT","HR_WKD","A","2018",1511,
"BEL","HRWKD","TOT","HR_WKD","A","1990",1662.9,
"BEL","HRWKD","TOT","HR_WKD","A","1991",1625.79,
"BEL","HRWKD","TOT","HR_WKD","A","1992",1602.72,
"BEL","HRWKD","TOT","HR_WKD","A","1993",1558.59,
"BEL","HRWKD","TOT","HR_WKD","A","1994",1558.59,
"BEL","HRWKD","TOT","HR_WKD","A","1995",1584.67,
"BEL","HRWKD","TOT","HR_WKD","A","1996",1558.59,
"BEL","HRWKD","TOT","HR_WKD","A","1997",1571.63,
"BEL","HRWKD","TOT","HR_WKD","A","1998",1582.66,
"BEL","HRWKD","TOT","HR_WKD","A","1999",1582,
"BEL","HRWKD","TOT","HR_WKD","A","2000",1595,
"BEL","HRWKD","TOT","HR_WKD","A","2001",1588,
"BEL","HRWKD","TOT","HR_WKD","A","2002",1583,
"BEL","HRWKD","TOT","HR_WKD","A","2003",1578,
"BEL","HRWKD","TOT","HR_WKD","A","2004",1573,
"BEL","HRWKD","TOT","HR_WKD","A","2005",1565,
"BEL","HRWKD","TOT","HR_WKD","A","2006",1572,
"BEL","HRWKD","TOT","HR_WKD","A","2007",1577,
"BEL","HRWKD","TOT","HR_WKD","A","2008",1570,
"BEL","HRWKD","TOT","HR_WKD","A","2009",1548,
"BEL","HRWKD","TOT","HR_WKD","A","2010",1546,
"BEL","HRWKD","TOT","HR_WKD","A","2011",1560,
"BEL","HRWKD","TOT","HR_WKD","A","2012",1560,
"BEL","HRWKD","TOT","HR_WKD","A","2013",1558,
"BEL","HRWKD","TOT","HR_WKD","A","2014",1545,
"BEL","HRWKD","TOT","HR_WKD","A","2015",1545,
